id,temp_range,head,head_image,head_color,head_material,head_style,head_vector,outerwear,outerwear_image,outerwear_color,outerwear_material,outerwear_style,outerwear_vector,top,top_image,top_color,top_material,top_style,top_vector,bottom,bottom_image,bottom_color,bottom_material,bottom_style,bottom_vector,shoes,shoes_image,shoes_color,shoes_material,shoes_style,shoes_vector,general_vector
11,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_59_shoes_vector_79
12,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_59_shoes_vector_80
13,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_60_shoes_vector_77
14,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_60_shoes_vector_78
15,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_60_shoes_vector_79
16,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Brown Cardigan,brown_cardigan.png,brown,cotton,grunge,tops_vector_37,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_37_bottoms_vector_60_shoes_vector_80
17,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_57_shoes_vector_77
18,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_57_shoes_vector_78
19,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_57_shoes_vector_79
20,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_57_shoes_vector_80
21,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_58_shoes_vector_77
22,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_58_shoes_vector_78
23,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_58_shoes_vector_79
24,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_58_shoes_vector_80
25,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_59_shoes_vector_77
26,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_59_shoes_vector_78
27,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_59_shoes_vector_79
28,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_59_shoes_vector_80
29,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_60_shoes_vector_77
30,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_60_shoes_vector_78
31,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_60_shoes_vector_79
32,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,White Chunky Sweater,white_chunky_sweater.png,white,wool,minimalism,tops_vector_38,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_38_bottoms_vector_60_shoes_vector_80
33,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_57_shoes_vector_77
34,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_57_shoes_vector_78
35,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_57_shoes_vector_79
36,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_57_shoes_vector_80
37,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_58_shoes_vector_77
38,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_58_shoes_vector_78
39,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_58_shoes_vector_79
40,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_58_shoes_vector_80
41,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_59_shoes_vector_77
42,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_59_shoes_vector_78
43,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_59_shoes_vector_79
44,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Thermal Underwear,thermal_underwear.png,black,polyester,sport,bottoms_vector_59,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_59_shoes_vector_80
45,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_60_shoes_vector_77
46,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_60_shoes_vector_78
47,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_60_shoes_vector_79
48,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Black Turtleneck Sweater,black_turtleneck_sweater.png,black,wool,classic,tops_vector_39,Fleece-Lined Joggers,fleece_lined_joggers.png,black,wool,casual,bottoms_vector_60,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_39_bottoms_vector_60_shoes_vector_80
49,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Gray Hoodie,gray_hoodie.png,grey,cotton,streetwear,tops_vector_40,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_40_bottoms_vector_57_shoes_vector_77
50,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Gray Hoodie,gray_hoodie.png,grey,cotton,streetwear,tops_vector_40,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Black Snow Boots,black_snow_boots.png,black,leather,military,shoes_vector_78,general_head_vector_1_outerwear_vector_21_tops_vector_40_bottoms_vector_57_shoes_vector_78
51,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Gray Hoodie,gray_hoodie.png,grey,cotton,streetwear,tops_vector_40,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Wool-Lined Boots,wool_lined_boots.png,brown,wool,casual,shoes_vector_79,general_head_vector_1_outerwear_vector_21_tops_vector_40_bottoms_vector_57_shoes_vector_79
52,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Gray Hoodie,gray_hoodie.png,grey,cotton,streetwear,tops_vector_40,Thermal Fleece Pants,thermal_fleece_pants.png,black,polyester,sport,bottoms_vector_57,Brown Furry Boots,brown_furry_boots.png,brown,wool,casual,shoes_vector_80,general_head_vector_1_outerwear_vector_21_tops_vector_40_bottoms_vector_57_shoes_vector_80
53,-20_-10,Brown Hat and Scarf Set,brown_hat_and_scarf_set.png,brown,wool,grunge,head_vector_1,Black Long Coat,black_long_coat.png,black,polyester,casual,outerwear_vector_21,Gray Hoodie,gray_hoodie.png,grey,cotton,streetwear,tops_vector_40,Snow Pants,snow_pants.png,black,polyester,casual,bottoms_vector_58,Beige Ankle Boots,beige_ankle_boots.png,beige,leather,classic,shoes_vector_77,general_head_vector_1_outerwear_vector_21_tops_vector_40_bottoms_vector_58_shoes_vector_77
